,MSPE h=1,MSPE h=12,MAPE h=1,MAPE h=12
PM,1.0,1.0,1.0,1.0
LAR p=1,0.9955321241219006,1.0285996202837007,1.0085921202917079,0.9998446223069851
EAR p=1,0.9955127788930769,1.0285996472600811,1.0085855285283227,0.9998435484295141
EARX p=1,1.403918842256584,1.0755670951078506,1.0256214176793335,1.0339131209763002
LAR p=12,1.048403024060498,1.0317074374038777,0.9812081542849864,1.0045600786427005
EAR p=12,1.0483234175654055,1.0317123583447472,0.9805755662369748,1.0045465372821047
EARX p=12,1.270146954161152,1.03489165105793,1.0553522627443537,1.0128615810895893
LAR p=24,1.0505386192327246,1.0223445085373477,1.0000273568848532,0.9942473961705205
EAR p=24,1.0514409559834592,1.022523867839367,1.0003577454176018,0.9944523463504492
EARX p=24,1.2425867866593145,1.0419003229684771,1.0520069765761313,1.0139678882901149
