,MSPE h=12,MAPE h=12
PM,1.0,1.0
AR p=1,1.0315341435095144,0.9995843957699911
ARX p=1,30.387162899633907,1.9997158070032302
LAR p=1,1.028599554108847,0.9998452263291633
LARX p=1,1.0771739762033727,1.034815691661328
RAR p=1,1.0301130616285719,0.9995008806372229
RARX p=1,2.3052870755382986,1.183994608944746
TAR p=1,1.0389494934217023,1.0062808201316906
TARX p=1,26.07405769058844,1.948600802234255
AR p=12,1.036304773832912,1.0205943407237645
ARX p=12,41.54069380280187,5.327729714935936
LAR p=12,1.0323130736230606,1.003831232092882
LARX p=12,1.034257869000215,1.0125370702373826
RAR p=12,1.0323124667811576,1.0032007606446622
RARX p=12,1.1250640412974386,1.0781595379131388
TAR p=12,1.043007708532039,1.0279003759047218
TARX p=12,36.53773628343908,4.911157127439535
AR p=24,1.0183079285777326,1.009878034218362
ARX p=24,8.54352270846651,3.100334213563837
LAR p=24,1.0230509992619474,0.9942573287277053
LARX p=24,1.042122817614571,1.0144845617378369
RAR p=24,1.0235615474495363,1.0030679496344537
RARX p=24,1.1129828687247074,1.0868760736871443
TAR p=24,1.0320753035969332,1.0181360556501104
TARX p=24,5.983795829658532,2.5304547068486096
