,MSPE h=12,MAPE h=12
PM,1.0,1.0
AR1,1.0315341435095144,0.9995843957699911
OLS p=1,30.387162899633907,1.9997158070032302
Lasso p=1,1.0771739762033727,1.034815691661328
Ridge p=1,2.3052870755382986,1.183994608944746
OLTS p=1,41.09260561508179,2.6093225645183993
OLS p=12,41.54069380280187,5.327729714935936
Lasso p=12,1.034257869000215,1.0125370702373826
Ridge p=12,1.1250640412974386,1.0781595379131388
OLTS p=12,33.231556176128,4.772347814974319
OLS p=24,8.54352270846651,3.100334213563837
Lasso p=24,1.042122817614571,1.0144845617378369
Ridge p=24,1.1129828687247074,1.0868760736871443
OLTS p=24,4.456341617682791,2.5953766267683043
