,MSPE h=1,MSPE h=12,MAPE h=1,MAPE h=12
PM,0.00022390130494935392,0.00022390130494935392,0.0068541869059459805,0.0068541869059459805
LAR p=1,0.00022290094170989572,0.00023030479725193048,0.0069130789043437176,0.006853121918197042
EAR p=1,0.00022289661028791755,0.00023030480329197728,0.006913033723165435,0.006853114557640141
EARX p=1,0.0003143392608242353,0.0002408208761552336,0.007029800891515441,0.007086633775681498
LAR p=12,0.0002347388051999944,0.00023100064156068208,0.006725384083107577,0.0068854425372688625
EAR p=12,0.00023472098120186076,0.00023100174336576436,0.006721048206392038,0.0068853497222523775
EARX p=12,0.0002843875605141292,0.00023171359115306198,0.0072335816604628105,0.006942342586640006
LAR p=24,0.00023521696774589948,0.00022890426956931806,0.006854374415147929,0.0068147574841028674
EAR p=24,0.00023541900212189273,0.000228944428351095,0.00685663895990297,0.006816162250942506
EARX p=24,0.00027821680304584496,0.00023328284193979533,0.007210652443811939,0.0069499254229678014
