,MSPE h=12,MAPE h=12
PM,0.00022390130494935392,0.0068541869059459805
AR p=1,0.0002309618408315944,0.006851338276874598
ARX p=1,0.006803725426936625,0.01370642589997474
LAR p=1,0.00023030478243529445,0.006853126058277946
LARX p=1,0.00024118065892941948,0.0070928201638525085
RAR p=1,0.00023064365874401145,0.006850765848545129
RARX p=1,0.0005161567844959049,0.008115320345339709
TAR p=1,0.00023262214735358936,0.006897236821051217
TARX p=1,0.005838015542247489,0.013356074103589863
AR p=12,0.00023202999118643411,0.006995344366471398
ARX p=12,0.009301015550948878,0.036517255250533204
LAR p=12,0.00023113624430048173,0.0068804468867906515
LARX p=12,0.00023157168652328608,0.0069401183286059735
RAR p=12,0.00023113610842778778,0.006876125517645691
RARX p=12,0.0002519033069980903,0.007389906987285005
TAR p=12,0.0002335307870125589,0.007045421297143095
TARX p=12,0.008180846833757367,0.03366198887593933
AR p=24,0.00022800047404882782,0.006921892798741963
ARX p=24,0.00191290588329009,0.02125027017066558
LAR p=24,0.00022906245376449056,0.006814825563706267
LARX p=24,0.00023333265878139998,0.006953466799347828
RAR p=24,0.0002291767661699312,0.006875215206158554
RARX p=24,0.00024919831669373743,0.007449651752652404
TAR p=24,0.00023108300728135397,0.0069784948211084755
TARX p=24,0.0013397796948110472,0.017344209517771113
