,MSPE h=12,MAPE h=12
PM,0.00022390130494935392,0.0068541869059459805
AR1,0.0002309618408315944,0.006851338276874598
OLS p=1,0.006803725426936625,0.01370642589997474
Lasso p=1,0.00024118065892941948,0.0070928201638525085
Ridge p=1,0.0005161567844959049,0.008115320345339709
OLTS p=1,0.00920068802098596,0.0178847845551114
OLS p=12,0.009301015550948878,0.036517255250533204
Lasso p=12,0.00023157168652328608,0.0069401183286059735
Ridge p=12,0.0002519033069980903,0.007389906987285005
OLTS p=12,0.007440588793332821,0.03271056390401689
OLS p=24,0.00191290588329009,0.02125027017066558
Lasso p=24,0.00023333265878139998,0.006953466799347828
Ridge p=24,0.00024919831669373743,0.007449651752652404
OLTS p=24,0.0009977807034992918,0.017789196491193558
